"country","commodity","indicator","Unit","Date","Value"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2000","59742"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2001","130436"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2002","158540"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2003","125257"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2004","73511"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2005","100777"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2007","69713"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2008","44869"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2010","46964"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2011","69690"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2012","73710"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2013","85899"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2014","65804.481"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2015","72139.45"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2016","102946.323"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2017","96194.733"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2018","86006.767"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2019","80807"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2020","112976"
"Togo","1.1.1.1. Wheat","Imports (Tons)","Tons","2022","172601"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2000","34"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2001","0"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2002","323"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2003","89"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2005","10"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2008","123"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2017","999"
"Togo","1.1.1.1. Wheat","Exports (Tons)","","2019","80"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2000","369183"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2001","411581"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2002","403153"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2003","422534"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2004","479549"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2005","439481"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2006","465282"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2007","468200"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2008","494994"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2009","518955.47"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2010","715857"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2011","522629"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2012","754739.29"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2013","749288"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2014","696588"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2015","571885.1371"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2016","675831"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2017","694422.0631"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2018","715274.8941"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2019","743273.339430587"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2020","721872.006154209"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2021","755187"
"Togo","1.1.1.2. Maize","Area planted (Ha)","Ha","2022","763336"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2000","369183"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2001","411581"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2002","403153"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2003","422534"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2004","479549"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2005","439481"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2006","465282"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2007","468200"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2008","494994"
"Togo","1.1.1.2. Maize","Area harvested (Ha)","Ha","2009","518955.47"
