N_azote,P_phosphore,K_potassium,pH,temperature_C,humidite_pourcentage,precipitations_mm,culture_recommandee
52,42,50,5.6,25.3,68.3,1293.1,Igname
118,57,39,6.2,29.6,48.6,875.0,Coton
29,16,39,6.2,28.0,45.3,1052.9,Manioc
18,61,28,7.0,25.7,47.8,937.1,Soja
59,34,49,5.9,25.9,58.2,1125.0,Igname
69,28,61,5.7,23.7,87.0,1687.9,Café
27,49,20,7.6,26.8,42.4,823.4,Soja
116,39,31,6.0,24.8,44.5,844.6,Coton
103,45,46,7.0,29.9,62.5,1084.3,Riz
36,39,35,7.1,35.0,34.9,510.4,Sorgho
65,30,30,8.2,31.2,40.6,739.5,Sorgho
69,48,38,6.1,25.6,100.0,2297.1,Cacao
54,40,46,5.8,26.4,62.2,1123.9,Igname
67,35,47,6.1,26.2,88.7,1942.7,Cacao
86,66,23,5.8,26.4,32.7,793.7,Maïs
86,43,20,6.1,29.3,44.7,869.4,Maïs
59,38,57,6.0,27.1,57.1,1083.8,Igname
58,42,18,6.7,25.4,46.1,827.7,Maïs
49,32,30,7.2,30.4,32.8,640.8,Sorgho
32,23,26,6.9,28.3,39.5,678.8,Sorgho
68,52,43,6.3,31.4,79.0,1455.1,Riz
43,37,33,6.3,28.5,34.5,567.8,Sorgho
67,36,49,6.0,21.3,100.0,2436.9,Cacao
54,52,38,6.7,22.6,89.2,1677.4,Riz
84,38,24,6.7,26.0,41.6,679.6,Maïs
83,41,24,6.6,25.6,28.8,713.1,Maïs
57,41,43,6.3,25.6,100.0,2381.5,Cacao
57,22,38,5.6,27.4,56.1,933.2,Manioc
43,37,22,6.2,28.4,38.9,718.4,Sorgho
51,35,46,5.8,29.4,65.6,1194.7,Igname
44,30,32,7.5,28.4,20.0,408.6,Sorgho
53,26,26,6.9,36.4,32.2,770.3,Sorgho
46,27,30,7.1,30.5,20.6,601.3,Sorgho
82,18,46,5.7,20.9,85.1,1715.0,Café
30,41,53,5.4,26.3,70.5,1391.1,Igname
62,49,35,6.0,26.7,77.5,1698.2,Riz
45,20,31,6.1,29.5,42.5,831.0,Manioc
31,43,31,6.3,24.9,40.1,710.1,Soja
66,40,36,6.2,25.1,96.4,2018.3,Cacao
107,60,39,6.5,27.5,32.5,820.4,Coton
27,51,30,7.3,29.8,58.6,979.1,Soja
24,42,26,6.7,27.3,39.8,860.7,Soja
41,21,39,5.8,27.4,46.5,1057.3,Manioc
122,44,44,5.9,27.9,38.9,887.0,Coton
62,41,44,6.5,23.2,92.6,1744.9,Cacao
54,24,39,5.7,29.0,39.2,893.3,Manioc
65,37,38,5.7,26.9,78.5,1659.9,Cacao
48,22,30,5.5,30.9,20.0,454.7,Sorgho
116,50,41,6.5,26.4,25.2,448.3,Coton
51,22,36,5.6,28.3,39.9,991.6,Manioc
45,25,48,5.8,27.5,56.8,972.1,Manioc
52,31,36,6.7,27.3,20.7,516.5,Sorgho
55,35,34,7.5,31.8,27.3,664.1,Sorgho
70,42,36,6.3,31.7,74.9,1551.1,Riz
57,23,34,5.6,28.3,50.6,1050.3,Manioc
66,51,34,4.6,27.7,73.7,1494.8,Riz
31,55,33,6.4,23.4,41.4,696.3,Soja
69,40,45,6.3,27.2,49.7,1041.2,Igname
45,18,40,6.0,32.4,43.9,801.0,Manioc
118,54,33,6.6,33.0,38.1,887.7,Coton
63,34,44,5.9,25.9,73.1,1332.7,Igname
73,43,43,5.9,23.9,100.0,1979.4,Cacao
38,32,38,7.2,31.7,47.4,832.7,Sorgho
83,53,18,7.3,22.1,50.1,825.9,Maïs
115,49,38,6.7,35.3,31.7,738.0,Coton
64,38,40,5.8,26.8,96.8,2124.7,Cacao
64,41,46,5.9,29.0,71.9,1578.2,Igname
33,59,23,6.7,28.9,53.2,903.7,Soja
29,57,43,7.0,32.4,55.7,957.2,Soja
46,13,36,5.9,28.3,38.7,829.3,Manioc
124,54,39,5.9,33.6,47.5,871.9,Coton
82,28,60,5.3,20.2,100.0,2088.2,Café
28,65,23,6.9,29.7,45.4,739.5,Soja
33,56,24,6.9,25.8,38.6,690.8,Soja
26,67,22,6.6,28.0,42.0,768.6,Soja
82,39,51,5.9,25.5,93.0,1809.2,Cacao
52,41,27,6.2,23.4,23.9,671.8,Maïs
69,39,47,6.7,25.0,65.2,1310.4,Igname
52,26,29,7.8,29.3,29.9,599.9,Sorgho
72,34,23,6.4,26.2,100.0,2083.9,Cacao
115,46,36,5.6,28.1,58.1,1077.8,Coton
34,56,31,6.1,25.4,47.9,789.0,Soja
73,48,46,6.2,29.6,98.4,1866.9,Riz
90,30,57,5.6,19.6,99.0,1957.2,Café
56,39,47,6.6,29.2,49.2,1124.2,Igname
47,34,44,6.1,28.3,61.9,1188.3,Igname
37,53,23,6.6,26.3,28.1,658.6,Soja
51,27,42,6.1,28.6,60.0,1055.9,Manioc
69,37,42,5.7,23.0,93.3,1735.7,Café
35,49,39,5.7,22.1,30.2,769.0,Soja
151,42,39,5.1,34.6,33.2,839.4,Coton
58,23,37,5.8,26.2,60.9,1050.7,Manioc
71,37,33,5.8,24.0,99.4,2055.4,Cacao
98,55,39,6.4,26.7,36.0,915.4,Coton
91,38,24,6.4,24.9,33.6,799.4,Maïs
80,52,40,6.8,26.1,60.9,1344.1,Riz
68,36,65,5.9,20.6,89.6,1705.5,Café
88,54,22,6.7,22.6,26.5,512.5,Maïs
84,45,24,6.5,22.0,43.7,705.8,Maïs
66,40,47,5.6,22.9,100.0,2005.8,Cacao
78,27,55,5.8,22.8,79.6,1729.5,Café
113,44,41,6.0,31.0,46.4,906.9,Coton
69,32,45,5.9,25.0,100.0,2065.7,Cacao
39,32,41,4.9,26.6,38.9,973.9,Manioc
58,51,45,5.5,30.0,58.0,1231.0,Riz
54,40,51,5.6,23.2,93.5,1787.5,Cacao
35,20,35,6.2,29.2,37.6,826.0,Manioc
