Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2000,Arachides,19.8,0.0,,25972.0,550.0,,,53896.0,53896.0,5730.0,4135000.0
2001,Arachides,19.8,0.0,,33023.0,616.0,,,58841.0,58841.0,5730.0,4135000.0
2002,Arachides,19.8,0.0,,35682.0,755.0,,,51660.0,51660.0,5080.0,4135000.0
2003,Arachides,19.8,0.0,,38244.0,687.0,,,65253.0,65253.0,8435.5,4135000.0
2004,Arachides,19.8,0.0,,34870.0,678.0,,,59086.0,59086.0,10423.5,4135000.0
2005,Arachides,19.8,0.0,,26919.0,625.0,,,53544.0,53544.0,11329.0,4135000.0
2006,Arachides,19.8,0.0,,32413.0,879.0,,,52062.0,52062.0,8466.5,4135000.0
2007,Arachides,19.8,0.0,,35952.0,678.0,,,57881.0,57881.0,10199.0,4135000.0
2008,Arachides,19.8,0.0,,42647.0,684.0,,,67357.0,67357.0,5230.0,4135000.0
2009,Arachides,2.273,0.0,,44528.12909,657.8110193,,,67691.37,67691.37,9870.5,4135000.0
2010,Arachides,0.0,3.465,,46495.95351,667.8438045,,,69621.0,69621.0,24874.1,4135000.0
2011,Arachides,0.0,19.2,,47369.0,688.6630612,,,68784.0,68784.0,25854.9,4135000.0
2012,Arachides,0.0,0.083,,45003.0285,687.8947161,,,65421.39,65421.39,25861.2,4235333.333333333
2013,Arachides,0.0,25.229,,43226.0,710.8019667,,,60813.0,60813.0,34767.3,4339333.333333333
2014,Arachides,26.15,0.36,,40662.89009,665.2967534,,,61119.92864,61119.92864,36537.7,4446333.333333333
2015,Arachides,57.243,4.125,,40903.0,665.8693632,,,61427.9651,61427.9651,32970.0,4557000.0
2016,Arachides,1.55,10.0,,42787.6023,736.7265109,,,58078.0,58078.0,41704.45,4670666.666666667
2017,Arachides,0.0,0.0,,43493.41425,737.074581,,,59008.15924,59008.15924,28109.75,4785333.333333333
2018,Arachides,0.0,3.5,,43842.20335,739.457988,,,59289.64736,59289.64736,28109.75,4901666.666666667
2019,Arachides,0.0,0.0,,44582.3311175048,743.71050632733,,,59945.813240781,59945.813240781,28109.75,5018666.666666667
2020,Arachides,0.108,4.0,,43407.2369539799,743.71050632733,,,58376.6055564337,58376.6055564337,28109.75,5137333.333333333
2021,Arachides,0.6,0.0,,44367.0,756.354523602516,,,58659.0,58659.0,28109.75,5257666.666666667
2022,Arachides,395.693,95.5,,45074.0,757.0,,,59515.0,59515.0,28109.75,5378333.333333333
2000,Cacao,25475.0,6.0,,6600.0,241.8045421,,,25334.5117,25334.5117,5730.0,4135000.0
2001,Cacao,25475.0,0.0,,10200.0,241.8045421,,,25334.5117,25334.5117,5730.0,4135000.0
2002,Cacao,25475.0,139.5,,7500.0,241.8045421,,,25334.5117,25334.5117,5080.0,4135000.0
2003,Cacao,25475.0,279.0,,5100.0,241.8045421,,,25334.5117,25334.5117,8435.5,4135000.0
2005,Cacao,25475.0,845.0,,5246.571428571428,241.8045421,,,25334.5117,25334.5117,11329.0,4135000.0
2007,Cacao,25475.0,3.0,,5393.142857142857,241.8045421,,,25334.5117,25334.5117,10199.0,4135000.0
2008,Cacao,25475.0,18.0,,5539.714285714286,241.8045421,,,25334.5117,25334.5117,5230.0,4135000.0
2009,Cacao,13077.0,20.0,,5686.285714285715,241.8045421,,,25334.5117,25334.5117,9870.5,4135000.0
2010,Cacao,12944.0,12.5,,5832.857142857143,241.8045421,,,25334.5117,25334.5117,24874.1,4135000.0
2011,Cacao,13478.0,5.0,,5979.428571428572,241.8045421,,,25334.5117,25334.5117,25854.9,4135000.0
2012,Cacao,6510.0,5.4,,6126.0,241.8045421,,,25334.5117,25334.5117,25861.2,4235333.333333333
2013,Cacao,4431.0,5.8,,7020.0,321.3885126,,,21842.72221,21842.72221,34767.3,4339333.333333333
2014,Cacao,9632.0,6.2,,6568.0,285.0570722,,,23041.0,23041.0,36537.7,4446333.333333333
2015,Cacao,9721.0,6.6,,10384.7,437.3039234,,,23747.1,23747.1,32970.0,4557000.0
2016,Cacao,4387.0,7.0,,11586.9,473.7402457,,,24458.34,24458.34,41704.45,4670666.666666667
2017,Cacao,4903.0,33.0,,12288.95879,475.1537742,,,25863.11939,25863.11939,28109.75,4785333.333333333
2018,Cacao,6122.313,2.0,,12674.43112,506.8344265,,,26356.66255,26356.66255,28109.75,4901666.666666667
