Annee,Culture,Rendement_Kg_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Production_Tonnes,Superficie_Irriguee_Ha,Semences_Utilisees_Tonnes,Engrais_National_Total_Tonnes
2000,Arachides,550.0,53896.0,53896.0,25972.0,,,5730.0
2001,Arachides,616.0,58841.0,58841.0,33023.0,,,5730.0
2002,Arachides,755.0,51660.0,51660.0,35682.0,,,5080.0
2003,Arachides,687.0,65253.0,65253.0,38244.0,,,8435.5
2004,Arachides,678.0,59086.0,59086.0,34870.0,,,10423.5
2005,Arachides,625.0,53544.0,53544.0,26919.0,,,11329.0
2006,Arachides,879.0,52062.0,52062.0,32413.0,,,8466.5
2007,Arachides,678.0,57881.0,57881.0,35952.0,,,10199.0
2008,Arachides,684.0,67357.0,67357.0,42647.0,,,5230.0
2009,Arachides,657.8110193,67691.37,67691.37,44528.12909,,,9870.5
2010,Arachides,667.8438045,69621.0,69621.0,46495.95351,,,24874.1
2011,Arachides,688.6630612,68784.0,68784.0,47369.0,,,25854.9
2012,Arachides,687.8947161,65421.39,65421.39,45003.0285,,,25861.2
2013,Arachides,710.8019667,60813.0,60813.0,43226.0,,,34767.3
2014,Arachides,665.2967534,61119.92864,61119.92864,40662.89009,,,36537.7
2015,Arachides,665.8693632,61427.9651,61427.9651,40903.0,,,32970.0
2016,Arachides,736.7265109,58078.0,58078.0,42787.6023,,,41704.45
2017,Arachides,737.074581,59008.15924,59008.15924,43493.41425,,,28109.75
2018,Arachides,739.457988,59289.64736,59289.64736,43842.20335,,,28109.75
2019,Arachides,743.71050632733,59945.813240781,59945.813240781,44582.3311175048,,,28109.75
2020,Arachides,743.71050632733,58376.6055564337,58376.6055564337,43407.2369539799,,,28109.75
2021,Arachides,756.354523602516,58659.0,58659.0,44367.0,,,28109.75
2022,Arachides,757.0,59515.0,59515.0,45074.0,,,28109.75
2000,Cacao,241.8045421,25334.5117,25334.5117,6600.0,,,5730.0
2001,Cacao,241.8045421,25334.5117,25334.5117,10200.0,,,5730.0
2002,Cacao,241.8045421,25334.5117,25334.5117,7500.0,,,5080.0
2003,Cacao,241.8045421,25334.5117,25334.5117,5100.0,,,8435.5
2005,Cacao,241.8045421,25334.5117,25334.5117,5246.571428571428,,,11329.0
2007,Cacao,241.8045421,25334.5117,25334.5117,5393.142857142857,,,10199.0
2008,Cacao,241.8045421,25334.5117,25334.5117,5539.714285714286,,,5230.0
2009,Cacao,241.8045421,25334.5117,25334.5117,5686.285714285715,,,9870.5
2010,Cacao,241.8045421,25334.5117,25334.5117,5832.857142857143,,,24874.1
2011,Cacao,241.8045421,25334.5117,25334.5117,5979.428571428572,,,25854.9
2012,Cacao,241.8045421,25334.5117,25334.5117,6126.0,,,25861.2
2013,Cacao,321.3885126,21842.72221,21842.72221,7020.0,,,34767.3
2014,Cacao,285.0570722,23041.0,23041.0,6568.0,,,36537.7
2015,Cacao,437.3039234,23747.1,23747.1,10384.7,,,32970.0
2016,Cacao,473.7402457,24458.34,24458.34,11586.9,,,41704.45
2017,Cacao,475.1537742,25863.11939,25863.11939,12288.95879,,,28109.75
2018,Cacao,506.8344265,26356.66255,26356.66255,12674.43112,,,28109.75
2019,Cacao,580.14967364533,26465.742914384,26465.742914384,14567.8712536367,,,28109.75
