Annee,Culture,Importations_Tonnes,Exportations_Tonnes,Pertes_Post_Recolte_Tonnes,Population_Agricole_Totale
2000,Arachides,0.0,19.8,,4135000.0
2001,Arachides,0.0,19.8,,4135000.0
2002,Arachides,0.0,19.8,,4135000.0
2003,Arachides,0.0,19.8,,4135000.0
2004,Arachides,0.0,19.8,,4135000.0
2005,Arachides,0.0,19.8,,4135000.0
2006,Arachides,0.0,19.8,,4135000.0
2007,Arachides,0.0,19.8,,4135000.0
2008,Arachides,0.0,19.8,,4135000.0
2009,Arachides,0.0,2.273,,4135000.0
2010,Arachides,3.465,0.0,,4135000.0
2011,Arachides,19.2,0.0,,4135000.0
2012,Arachides,0.083,0.0,,4235333.333333333
2013,Arachides,25.229,0.0,,4339333.333333333
2014,Arachides,0.36,26.15,,4446333.333333333
2015,Arachides,4.125,57.243,,4557000.0
2016,Arachides,10.0,1.55,,4670666.666666667
2017,Arachides,0.0,0.0,,4785333.333333333
2018,Arachides,3.5,0.0,,4901666.666666667
2019,Arachides,0.0,0.0,,5018666.666666667
2020,Arachides,4.0,0.108,,5137333.333333333
2021,Arachides,0.0,0.6,,5257666.666666667
2022,Arachides,95.5,395.693,,5378333.333333333
2000,Cacao,6.0,25475.0,,4135000.0
2001,Cacao,0.0,25475.0,,4135000.0
2002,Cacao,139.5,25475.0,,4135000.0
2003,Cacao,279.0,25475.0,,4135000.0
2005,Cacao,845.0,25475.0,,4135000.0
2007,Cacao,3.0,25475.0,,4135000.0
2008,Cacao,18.0,25475.0,,4135000.0
2009,Cacao,20.0,13077.0,,4135000.0
2010,Cacao,12.5,12944.0,,4135000.0
2011,Cacao,5.0,13478.0,,4135000.0
2012,Cacao,5.4,6510.0,,4235333.333333333
2013,Cacao,5.8,4431.0,,4339333.333333333
2014,Cacao,6.2,9632.0,,4446333.333333333
2015,Cacao,6.6,9721.0,,4557000.0
2016,Cacao,7.0,4387.0,,4670666.666666667
2017,Cacao,33.0,4903.0,,4785333.333333333
2018,Cacao,2.0,6122.313,,4901666.666666667
2019,Cacao,11.75,7341.626,,5018666.666666667
2020,Cacao,21.5,8560.939,,5137333.333333333
2021,Cacao,31.25,9780.252,,5257666.666666667
2022,Cacao,41.0,10999.565,,5378333.333333333
2000,Café vert,1040.0,4396.0,,4135000.0
2001,Café vert,1.0,4396.0,,4135000.0
2002,Café vert,55.0,4396.0,,4135000.0
2003,Café vert,55.0,4396.0,,4135000.0
2004,Café vert,31.0,4396.0,,4135000.0
2005,Café vert,7.0,4396.0,,4135000.0
2006,Café vert,7.0,4396.0,,4135000.0
2007,Café vert,72.0,4396.0,,4135000.0
2008,Café vert,5.0,4396.0,,4135000.0
2009,Café vert,1.0,4659.0,,4135000.0
2010,Café vert,16.0,10621.0,,4135000.0
2011,Café vert,15.0,11883.0,,4135000.0
2012,Café vert,41.0,3986.0,,4235333.333333333
2013,Café vert,21.0,4564.0,,4339333.333333333
2014,Café vert,39.0,7864.0,,4446333.333333333
2015,Café vert,13.0,10849.0,,4557000.0
2016,Café vert,12.0,4202.0,,4670666.666666667
2017,Café vert,78.0,1940.0,,4785333.333333333
2018,Café vert,2.0,2582.824,,4901666.666666667
2019,Café vert,4.0,3225.648,,5018666.666666667
2020,Café vert,0.0,3868.4719999999998,,5137333.333333333
2021,Café vert,63.3295,4511.296,,5257666.666666667
2022,Café vert,126.659,5154.12,,5378333.333333333
2000,Haricots (secs),46.0,19.0,,4135000.0
2001,Haricots (secs),151.0,8.2,,4135000.0
2002,Haricots (secs),79.0,0.297,,4135000.0
2003,Haricots (secs),7.0,1.2376,,4135000.0
2004,Haricots (secs),3.0,2.1782000000000004,,4135000.0
2005,Haricots (secs),8.0,3.1188000000000007,,4135000.0
2006,Haricots (secs),9.0,4.0594,,4135000.0
2007,Haricots (secs),10.0,5.0,,4135000.0
2008,Haricots (secs),77.5,3.5,,4135000.0
2009,Haricots (secs),145.0,2.0,,4135000.0
2010,Haricots (secs),670.0,4.6,,4135000.0
2011,Haricots (secs),243.0,180.0,,4135000.0
2012,Haricots (secs),114.786,201.0,,4235333.333333333
2013,Haricots (secs),2.0,222.0,,4339333.333333333
2014,Haricots (secs),503.0,163.0,,4446333.333333333
2015,Haricots (secs),188.05,104.0,,4557000.0
2016,Haricots (secs),104.0,45.0,,4670666.666666667
2017,Haricots (secs),19.95,9.036,,4785333.333333333
2018,Haricots (secs),46.881,49.0,,4901666.666666667
2019,Haricots (secs),102.0,8.0,,5018666.666666667
2020,Haricots (secs),644.0,45.0,,5137333.333333333
2021,Haricots (secs),644.0,15.0,,5257666.666666667
2022,Haricots (secs),644.0,15.0,,5378333.333333333
2000,Ignames,,114.8,,4135000.0
2001,Ignames,,114.8,,4135000.0
2002,Ignames,,114.8,,4135000.0
2003,Ignames,,114.8,,4135000.0
2004,Ignames,,114.8,,4135000.0
2005,Ignames,,114.8,,4135000.0
2006,Ignames,,114.8,,4135000.0
2007,Ignames,,114.8,,4135000.0
2008,Ignames,,114.8,,4135000.0
2009,Ignames,,114.8,,4135000.0
2010,Ignames,,114.8,,4135000.0
2011,Ignames,,114.8,,4135000.0
2012,Ignames,,114.8,,4235333.333333333
2013,Ignames,,114.8,,4339333.333333333
2014,Ignames,,114.8,,4446333.333333333
2015,Ignames,,114.8,,4557000.0
2016,Ignames,,125.66,,4670666.666666667
2017,Ignames,,434.14,,4785333.333333333
2018,Ignames,,715.668,,4901666.666666667
2019,Ignames,,715.668,,5018666.666666667
2020,Ignames,,715.668,,5137333.333333333
2021,Ignames,,715.668,,5257666.666666667
2022,Ignames,,715.668,,5378333.333333333
2000,Manioc,351.0,0.0,,4135000.0
2001,Manioc,351.0,0.0,,4135000.0
2002,Manioc,351.0,0.0,,4135000.0
2003,Manioc,351.0,0.0,,4135000.0
2004,Manioc,351.0,0.0,,4135000.0
2005,Manioc,351.0,0.0,,4135000.0
2006,Manioc,351.0,0.0,,4135000.0
2007,Manioc,351.0,0.0,,4135000.0
2008,Manioc,351.0,0.0,,4135000.0
2009,Manioc,351.0,0.0,,4135000.0
2010,Manioc,351.0,41.16,,4135000.0
2011,Manioc,351.0,0.0,,4135000.0
2012,Manioc,78.0,0.0,,4235333.333333333
