Date,Area harvested (Ha),Area planted (Ha),Exports (Tons),Imports (Tons),Post harvest losses (Tons),Production on area harvested (Tons),Seed (Tons),Yield on area harvested (Kg/Ha)
2000,369183.0,369183.0,15.0,46.0,1305.72642835667,482052.0,,1305.72642835667
2001,411581.0,411581.0,15.0,46.0,1127.58120515767,464091.0,,1169.0
2002,403153.0,403153.0,15.0,46.0,1265.17724040253,510060.0,,1276.0
2003,422534.0,422534.0,15.0,46.0,1272.93898242508,537860.0,,1089.69260701201
2004,479549.0,479549.0,15.0,46.0,1089.69260701201,522561.0,,1275.0
2005,439481.0,439481.0,15.0,46.0,1159.24920531263,509468.0,,1158.0
2006,465282.0,465282.0,15.0,46.0,1167.77137305978,543343.0,,1155.0
2007,468200.0,468200.0,15.0,46.0,1166.27509611277,546050.0,,1171.0
2008,494994.0,494994.0,15.0,46.0,1192.14374315648,590104.0,,1192.0
2009,518955.47,518955.47,15.0,46.0,1255.86540883749,651738.2235,,1255.865409
2010,715857.0,715857.0,15.0,46.0,1212.89604907125,868260.127,,1212.896049
2011,522629.0,522629.0,15.0,46.0,1245.12799710693,650740.0,,1245.127997
2012,754739.29,754739.29,15.0,46.0,1142.45732642327,862257.4314,,1142.0
2013,749288.0,749288.0,15.0,46.0,924.357523408889,692610.0,,924.3575234
2014,696588.0,696588.0,15.0,46.0,1195.89153559924,833043.693,,1195.891536
2015,571885.1371,571885.1371,15.0,46.0,1389.54651633313,794661.0,,1389.546516
2016,675831.0,675831.0,15.0,46.0,1223.52478800173,826895.981,,1223.524788
2017,694422.0631,694422.0631,15.0,46.0,1230.79228529195,854689.318,,1230.792285
2018,715274.8941,715274.8941,15.0,46.0,1239.56527792802,886629.9229,,1239.565278
2019,743273.339430587,743273.339430587,15.0,46.0,1227.11994865433,912085.542118198,,1227.11994865433
2020,721872.006154209,721872.006154209,15.0,46.0,1226.02123245835,885030.406662367,,1227.11994865433
2021,755187.0,755187.0,15.0,46.0,,929020.0,,1230.18537130539
2022,763336.0,763336.0,15.0,46.0,,957047.0,131.22,1254.0
