date,culture,mois,prix_fcfa_kg,demande_estimee_kg
2024-01-01,Maïs,1,201,944
2024-01-01,Riz,1,440,841
2024-01-01,Sorgho,1,257,856
2024-01-01,Igname,1,307,1073
2024-01-01,Manioc,1,160,966
2024-01-01,Soja,1,400,956
2024-01-01,Coton,1,545,891
2024-01-01,Cacao,1,1645,856
2024-01-01,Café,1,1173,907
2024-01-02,Maïs,1,219,890
2024-01-02,Riz,1,441,1003
2024-01-02,Sorgho,1,257,1006
2024-01-02,Igname,1,354,625
2024-01-02,Manioc,1,162,715
2024-01-02,Soja,1,370,1063
2024-01-02,Coton,1,533,966
2024-01-02,Cacao,1,1604,968
2024-01-02,Café,1,1361,673
2024-01-03,Maïs,1,221,795
2024-01-03,Riz,1,451,869
2024-01-03,Sorgho,1,269,888
2024-01-03,Igname,1,314,898
2024-01-03,Manioc,1,159,883
2024-01-03,Soja,1,372,899
2024-01-03,Coton,1,577,892
2024-01-03,Cacao,1,1520,1016
2024-01-03,Café,1,1191,947
2024-01-04,Maïs,1,226,864
2024-01-04,Riz,1,415,1020
2024-01-04,Sorgho,1,267,1007
2024-01-04,Igname,1,336,890
2024-01-04,Manioc,1,169,880
2024-01-04,Soja,1,374,936
2024-01-04,Coton,1,524,876
2024-01-04,Cacao,1,1522,1013
2024-01-04,Café,1,1358,832
2024-01-05,Maïs,1,198,875
2024-01-05,Riz,1,436,949
2024-01-05,Sorgho,1,261,973
2024-01-05,Igname,1,306,1069
2024-01-05,Manioc,1,165,866
2024-01-05,Soja,1,358,1007
2024-01-05,Coton,1,553,1030
2024-01-05,Cacao,1,1623,738
2024-01-05,Café,1,1239,1011
2024-01-06,Maïs,1,215,909
2024-01-06,Riz,1,436,998
2024-01-06,Sorgho,1,282,854
2024-01-06,Igname,1,341,852
2024-01-06,Manioc,1,142,951
2024-01-06,Soja,1,389,826
2024-01-06,Coton,1,545,974
2024-01-06,Cacao,1,1567,1083
2024-01-06,Café,1,1279,905
2024-01-07,Maïs,1,218,1023
2024-01-07,Riz,1,450,766
2024-01-07,Sorgho,1,252,866
2024-01-07,Igname,1,337,922
2024-01-07,Manioc,1,149,1060
2024-01-07,Soja,1,349,1088
2024-01-07,Coton,1,552,1010
2024-01-07,Cacao,1,1569,998
2024-01-07,Café,1,1360,903
2024-01-08,Maïs,1,227,731
2024-01-08,Riz,1,452,939
2024-01-08,Sorgho,1,273,867
2024-01-08,Igname,1,325,827
2024-01-08,Manioc,1,166,1015
2024-01-08,Soja,1,384,776
2024-01-08,Coton,1,491,947
2024-01-08,Cacao,1,1675,1022
2024-01-08,Café,1,1165,945
2024-01-09,Maïs,1,208,1178
2024-01-09,Riz,1,438,1160
2024-01-09,Sorgho,1,269,954
2024-01-09,Igname,1,337,959
2024-01-09,Manioc,1,163,946
2024-01-09,Soja,1,385,945
2024-01-09,Coton,1,511,834
2024-01-09,Cacao,1,1526,997
2024-01-09,Café,1,1187,943
2024-01-10,Maïs,1,208,1056
2024-01-10,Riz,1,433,1125
2024-01-10,Sorgho,1,340,657
2024-01-10,Igname,1,315,1004
2024-01-10,Manioc,1,167,898
2024-01-10,Soja,1,365,1003
2024-01-10,Coton,1,498,927
2024-01-10,Cacao,1,1597,942
2024-01-10,Café,1,1224,995
2024-01-11,Maïs,1,216,1043
2024-01-11,Riz,1,455,872
2024-01-11,Sorgho,1,260,877
2024-01-11,Igname,1,312,1006
2024-01-11,Manioc,1,167,724
2024-01-11,Soja,1,367,1043
2024-01-11,Coton,1,567,773
2024-01-11,Cacao,1,1568,1016
2024-01-11,Café,1,1346,945
2024-01-12,Maïs,1,207,701
2024-01-12,Riz,1,434,942
2024-01-12,Sorgho,1,256,1138
2024-01-12,Igname,1,330,743
2024-01-12,Manioc,1,161,1043
2024-01-12,Soja,1,403,795
2024-01-12,Coton,1,549,822
2024-01-12,Cacao,1,1555,930
2024-01-12,Café,1,1234,939
2024-01-13,Maïs,1,213,1047
2024-01-13,Riz,1,456,891
2024-01-13,Sorgho,1,255,924
2024-01-13,Igname,1,322,1088
2024-01-13,Manioc,1,162,764
2024-01-13,Soja,1,359,847
2024-01-13,Coton,1,552,922
2024-01-13,Cacao,1,1578,805
2024-01-13,Café,1,1321,902
2024-01-14,Maïs,1,224,772
2024-01-14,Riz,1,393,896
2024-01-14,Sorgho,1,296,775
2024-01-14,Igname,1,325,708
2024-01-14,Manioc,1,159,878
2024-01-14,Soja,1,343,1028
2024-01-14,Coton,1,541,878
2024-01-14,Cacao,1,1582,929
2024-01-14,Café,1,1704,496
2024-01-15,Maïs,1,220,858
2024-01-15,Riz,1,422,859
2024-01-15,Sorgho,1,253,1100
2024-01-15,Igname,1,319,1064
2024-01-15,Manioc,1,163,931
2024-01-15,Soja,1,388,847
2024-01-15,Coton,1,563,819
2024-01-15,Cacao,1,1627,1024
2024-01-15,Café,1,1252,876
2024-01-16,Maïs,1,211,977
2024-01-16,Riz,1,422,1013
2024-01-16,Sorgho,1,267,968
2024-01-16,Igname,1,313,904
2024-01-16,Manioc,1,161,811
2024-01-16,Soja,1,393,744
2024-01-16,Coton,1,530,980
2024-01-16,Cacao,1,1644,825
2024-01-16,Café,1,1205,871
2024-01-17,Maïs,1,222,915
2024-01-17,Riz,1,457,979
2024-01-17,Sorgho,1,270,937
2024-01-17,Igname,1,312,868
2024-01-17,Manioc,1,156,985
2024-01-17,Soja,1,346,1125
2024-01-17,Coton,1,553,900
2024-01-17,Cacao,1,1543,805
2024-01-17,Café,1,1196,975
2024-01-18,Maïs,1,212,918
2024-01-18,Riz,1,452,822
2024-01-18,Sorgho,1,280,1078
2024-01-18,Igname,1,340,844
2024-01-18,Manioc,1,164,612
2024-01-18,Soja,1,364,739
2024-01-18,Coton,1,510,916
2024-01-18,Cacao,1,1737,946
2024-01-18,Café,1,1261,937
2024-01-19,Maïs,1,219,988
2024-01-19,Riz,1,431,907
2024-01-19,Sorgho,1,284,790
2024-01-19,Igname,1,318,952
2024-01-19,Manioc,1,155,1074
2024-01-19,Soja,1,347,1015
2024-01-19,Coton,1,518,1005
2024-01-19,Cacao,1,1571,947
2024-01-19,Café,1,1341,889
2024-01-20,Maïs,1,230,1022
2024-01-20,Riz,1,425,920
2024-01-20,Sorgho,1,275,1026
2024-01-20,Igname,1,321,1008
2024-01-20,Manioc,1,160,905
2024-01-20,Soja,1,381,841
2024-01-20,Coton,1,541,1095
2024-01-20,Cacao,1,1648,925
2024-01-20,Café,1,1315,953
2024-01-21,Maïs,1,209,1015
2024-01-21,Riz,1,398,1071
2024-01-21,Sorgho,1,258,902
2024-01-21,Igname,1,327,872
2024-01-21,Manioc,1,159,927
2024-01-21,Soja,1,393,936
2024-01-21,Coton,1,546,957
2024-01-21,Cacao,1,1588,1199
2024-01-21,Café,1,1300,840
2024-01-22,Maïs,1,215,847
2024-01-22,Riz,1,432,960
2024-01-22,Sorgho,1,266,906
2024-01-22,Igname,1,310,920
2024-01-22,Manioc,1,160,1001
2024-01-22,Soja,1,375,887
2024-01-22,Coton,1,535,981
2024-01-22,Cacao,1,1673,949
2024-01-22,Café,1,1229,859
2024-01-23,Maïs,1,227,628
2024-01-23,Riz,1,437,950
2024-01-23,Sorgho,1,285,734
2024-01-23,Igname,1,335,933
2024-01-23,Manioc,1,161,781
2024-01-23,Soja,1,340,898
2024-01-23,Coton,1,522,981
2024-01-23,Cacao,1,1597,898
2024-01-23,Café,1,1209,1048
2024-01-24,Maïs,1,210,930
2024-01-24,Riz,1,427,952
2024-01-24,Sorgho,1,250,925
2024-01-24,Igname,1,344,755
2024-01-24,Manioc,1,152,1082
2024-01-24,Soja,1,403,751
2024-01-24,Coton,1,575,898
2024-01-24,Cacao,1,1627,1025
2024-01-24,Café,1,1119,911
2024-01-25,Maïs,1,214,1116
2024-01-25,Riz,1,409,728
2024-01-25,Sorgho,1,268,896
2024-01-25,Igname,1,338,914
2024-01-25,Manioc,1,157,1009
2024-01-25,Soja,1,381,866
2024-01-25,Coton,1,563,931
2024-01-25,Cacao,1,1655,882
2024-01-25,Café,1,1275,983
2024-01-26,Maïs,1,199,843
2024-01-26,Riz,1,406,906
2024-01-26,Sorgho,1,262,909
2024-01-26,Igname,1,334,994
2024-01-26,Manioc,1,167,926
2024-01-26,Soja,1,387,1042
2024-01-26,Coton,1,522,854
2024-01-26,Cacao,1,1633,879
2024-01-26,Café,1,1320,901
2024-01-27,Maïs,1,220,1004
2024-01-27,Riz,1,429,809
2024-01-27,Sorgho,1,280,973
2024-01-27,Igname,1,331,950
2024-01-27,Manioc,1,167,936
2024-01-27,Soja,1,366,997
2024-01-27,Coton,1,505,1075
2024-01-27,Cacao,1,1716,817
2024-01-27,Café,1,1272,851
2024-01-28,Maïs,1,199,927
2024-01-28,Riz,1,447,1052
2024-01-28,Sorgho,1,269,939
2024-01-28,Igname,1,325,949
2024-01-28,Manioc,1,160,984
2024-01-28,Soja,1,390,963
2024-01-28,Coton,1,571,942
2024-01-28,Cacao,1,1623,916
2024-01-28,Café,1,1306,1057
2024-01-29,Maïs,1,219,793
2024-01-29,Riz,1,399,972
2024-01-29,Sorgho,1,269,872
2024-01-29,Igname,1,331,892
2024-01-29,Manioc,1,158,892
2024-01-29,Soja,1,364,813
2024-01-29,Coton,1,510,1166
2024-01-29,Cacao,1,1572,925
2024-01-29,Café,1,1250,937
2024-01-30,Maïs,1,213,1082
2024-01-30,Riz,1,444,1006
2024-01-30,Sorgho,1,277,708
2024-01-30,Igname,1,346,930
2024-01-30,Manioc,1,150,843
2024-01-30,Soja,1,342,1112
2024-01-30,Coton,1,526,936
2024-01-30,Cacao,1,1511,997
2024-01-30,Café,1,1355,894
2024-01-31,Maïs,1,208,970
2024-01-31,Riz,1,427,953
2024-01-31,Sorgho,1,246,949
2024-01-31,Igname,1,308,963
2024-01-31,Manioc,1,158,948
2024-01-31,Soja,1,349,959
2024-01-31,Coton,1,509,979
2024-01-31,Cacao,1,1598,1028
2024-01-31,Café,1,1561,851
2024-02-01,Maïs,2,241,796
2024-02-01,Riz,2,451,900
2024-02-01,Sorgho,2,277,868
2024-02-01,Igname,2,332,970
2024-02-01,Manioc,2,160,910
2024-02-01,Soja,2,406,758
2024-02-01,Coton,2,563,904
2024-02-01,Cacao,2,1772,1020
2024-02-01,Café,2,1343,972
2024-02-02,Maïs,2,209,1016
2024-02-02,Riz,2,437,837
2024-02-02,Sorgho,2,287,873
2024-02-02,Igname,2,341,912
2024-02-02,Manioc,2,170,902
2024-02-02,Soja,2,408,869
2024-02-02,Coton,2,526,1027
2024-02-02,Cacao,2,1631,702
