Produit,Année,Rendement_kg_ha,T2M,PRECTOTCORR,RH2M,GWETROOT,GWETTOP,Valeur_Ajoutee_Agricole
Sésame,2016,319.1279263823377,26.719517109908466,4.083635800597617,70.62022501996586,0.6259206640199577,0.6082469770643977,736729260205.6593
"Noix de muscade, fleur de muscade, cardamomes, crues",2023,1021.524142290456,25.683449630658306,4.431169585048125,79.24593355720842,0.6621028024029801,0.7147509402028734,999943938304.2579
Graines de ricin,2015,80.28162570210925,25.4714776218043,3.111120600059799,74.15617112363549,0.5716372413125519,0.5926421846157481,674692669621.2383
Noix de karite,2016,4144.99999938291,26.600224629878507,4.074337910932965,75.37465912004788,0.6331982224557549,0.6221337467561071,731481650507.3641
"Noix de muscade, fleur de muscade, cardamomes, crues",2023,1071.793357459446,26.850123157776718,4.641051676604648,80.53343457912283,0.7031275463936778,0.6932731966582591,997315391695.5487
"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2016,5237.6,26.5448087431694,4.076065573770491,73.88571038251365,0.6231967213114754,0.6228142076502732,733416000000.0
Arachides non décortiquées,2021,756.4,25.92775342465753,3.9432328767123286,79.31665753424657,0.6736164383561644,0.6907397260273973,892399651748.501
"Piments forts et piments, secs (Capsicum spp., Pimenta spp.), crus",2020,432.354981813159,25.57990960038556,5.143239480525721,76.30555284132446,0.7232748715139613,0.7490119148388399,857553109298.691
Tabacs bruts ou non fabriqués,2021,460.0692828786163,26.82748043691153,3.8898846920209724,81.53011238827025,0.6653186311885484,0.6779101452351711,900502974735.3724
Arachides non décortiquées,2020,765.9680523272225,25.89803364313064,5.190598366122364,80.50401816671601,0.7178906873994312,0.7251001335559988,856369136977.7478
"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2018,5557.054606710792,25.722760092877255,4.567037230418426,77.8666189341373,0.6752662353249166,0.6596643835616438,808375687346.906
Ananas,2019,8141.088450113962,26.798208003554834,4.985354111909185,78.76138202689401,0.7164614961432668,0.7389440399723426,866083192770.7823
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2017,965.8758490504991,26.18257329435294,4.065636193014462,78.62672375738227,0.6443252476167793,0.6576154190893307,797159081000.0073
Sorgho,2018,882.9677285965076,25.286464659610452,4.395464532491811,75.66683205664707,0.6679442224447201,0.6965147659025552,826198506503.2496
Noix de karite,2020,4214.1301355089845,25.342007122825986,4.861511511733697,78.9815402448091,0.7589293261933716,0.7354687613802855,856746795991.3693
Ananas,2017,7998.476037216899,25.922491344203664,4.164377702796631,74.47853711836511,0.6299967384956772,0.6658953247610331,791628768106.9332
"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2020,5223.132057543541,25.942366123773663,4.879275384503855,79.2397242994401,0.7433290339503987,0.7548496988271038,859714185572.452
Patates douces,2015,3575.7285699637005,25.831422988789377,3.14306989452509,77.05458965190111,0.5897686653449382,0.5875765604858255,684214414112.774
Noix de karite,2019,4128.828879173795,25.77985224889043,5.089675223374295,79.19569531936017,0.7133663436694757,0.739737069096227,882178491228.0315
Patates douces,2022,3508.703088234693,25.679573334789442,4.793742696906922,76.71579414630372,0.6802783532298408,0.6850600000365128,929556645234.6125
Bananes,2022,13122.930964799081,26.014676201084264,4.925555308871398,75.04111534409712,0.6580100905008063,0.6647904299034888,945564302096.4318
