Produit,Année,Rendement_kg_ha,T2M,PRECTOTCORR,RH2M,GWETROOT,GWETTOP,Valeur_Ajoutee_Agricole
Ananas,2015,8019.9,26.17372602739726,3.1834246575342466,73.75301369863013,0.5778356164383561,0.5891506849315068,676983748351.848
Ananas,2016,8005.1,26.544808743169398,4.076065573770491,73.88571038251365,0.6231967213114754,0.6228142076502732,733416000000.0
Ananas,2017,8009.0,26.162273972602737,4.066109589041096,76.52139726027397,0.6475342465753424,0.6606301369863014,783338000000.0
Ananas,2018,8016.9,25.62013698630137,4.461972602739726,78.10038356164384,0.6793150684931507,0.6943835616438356,819305083628.113
Ananas,2019,8010.4,25.842027397260274,5.005041095890411,79.60054794520548,0.7189589041095891,0.731013698630137,864816063151.685
Ananas,2020,8018.8,25.55327868852459,5.009398907103825,78.95647540983606,0.7270218579234972,0.7411475409836066,856967581267.048
Ananas,2021,8015.4,25.92775342465753,3.9432328767123286,79.31665753424657,0.6736164383561644,0.6907397260273973,892399651748.501
Ananas,2022,8014.9,25.620328767123286,4.94627397260274,77.37772602739726,0.6615068493150684,0.6768493150684932,940020690899.395
Ananas,2023,8016.4,26.15476712328767,4.51827397260274,78.15893150684931,0.6806301369863014,0.694904109589041,998973479941.652
Arachides non décortiquées,2015,665.9,26.17372602739726,3.1834246575342466,73.75301369863013,0.5778356164383561,0.5891506849315068,676983748351.848
Arachides non décortiquées,2016,700.1,26.544808743169398,4.076065573770491,73.88571038251365,0.6231967213114754,0.6228142076502732,733416000000.0
Arachides non décortiquées,2017,737.1,26.162273972602737,4.066109589041096,76.52139726027397,0.6475342465753424,0.6606301369863014,783338000000.0
Arachides non décortiquées,2018,739.5,25.62013698630137,4.461972602739726,78.10038356164384,0.6793150684931507,0.6943835616438356,819305083628.113
Arachides non décortiquées,2019,743.7,25.842027397260274,5.005041095890411,79.60054794520548,0.7189589041095891,0.731013698630137,864816063151.685
Arachides non décortiquées,2020,743.6,25.55327868852459,5.009398907103825,78.95647540983606,0.7270218579234972,0.7411475409836066,856967581267.048
Arachides non décortiquées,2021,756.4,25.92775342465753,3.9432328767123286,79.31665753424657,0.6736164383561644,0.6907397260273973,892399651748.501
Arachides non décortiquées,2022,757.4,25.620328767123286,4.94627397260274,77.37772602739726,0.6615068493150684,0.6768493150684932,940020690899.395
Arachides non décortiquées,2023,750.0,26.15476712328767,4.51827397260274,78.15893150684931,0.6806301369863014,0.694904109589041,998973479941.652
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2015,1025.7,26.17372602739726,3.1834246575342466,73.75301369863013,0.5778356164383561,0.5891506849315068,676983748351.848
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2016,1024.3,26.544808743169398,4.076065573770491,73.88571038251365,0.6231967213114754,0.6228142076502732,733416000000.0
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2017,1025.2,26.162273972602737,4.066109589041096,76.52139726027397,0.6475342465753424,0.6606301369863014,783338000000.0
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2018,1025.8,25.62013698630137,4.461972602739726,78.10038356164384,0.6793150684931507,0.6943835616438356,819305083628.113
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2019,1026.1,25.842027397260274,5.005041095890411,79.60054794520548,0.7189589041095891,0.731013698630137,864816063151.685
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2020,1026.6,25.55327868852459,5.009398907103825,78.95647540983606,0.7270218579234972,0.7411475409836066,856967581267.048
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2021,1027.7,25.92775342465753,3.9432328767123286,79.31665753424657,0.6736164383561644,0.6907397260273973,892399651748.501
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2022,1028.1,25.620328767123286,4.94627397260274,77.37772602739726,0.6615068493150684,0.6768493150684932,940020690899.395
"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2023,1029.0,26.15476712328767,4.51827397260274,78.15893150684931,0.6806301369863014,0.694904109589041,998973479941.652
Autres fruits n.a.c.,2015,5907.4,26.17372602739726,3.1834246575342466,73.75301369863013,0.5778356164383561,0.5891506849315068,676983748351.848
Autres fruits n.a.c.,2016,5941.9,26.544808743169398,4.076065573770491,73.88571038251365,0.6231967213114754,0.6228142076502732,733416000000.0
Autres fruits n.a.c.,2017,5682.9,26.162273972602737,4.066109589041096,76.52139726027397,0.6475342465753424,0.6606301369863014,783338000000.0
Autres fruits n.a.c.,2018,5730.5,25.62013698630137,4.461972602739726,78.10038356164384,0.6793150684931507,0.6943835616438356,819305083628.113
Autres fruits n.a.c.,2019,5830.4,25.842027397260274,5.005041095890411,79.60054794520548,0.7189589041095891,0.731013698630137,864816063151.685
Autres fruits n.a.c.,2020,5587.2,25.55327868852459,5.009398907103825,78.95647540983606,0.7270218579234972,0.7411475409836066,856967581267.048
Autres fruits n.a.c.,2021,5715.2,25.92775342465753,3.9432328767123286,79.31665753424657,0.6736164383561644,0.6907397260273973,892399651748.501
Autres fruits n.a.c.,2022,5710.2,25.620328767123286,4.94627397260274,77.37772602739726,0.6615068493150684,0.6768493150684932,940020690899.395
