,Élément,Produit,Année,Unité,Valeur,Symbole,Description du Symbole,Note
0,Superficie récoltée,Ananas,2010,ha,200.0,E,Valeur estimée,
1,Rendement,Ananas,2010,kg/ha,8000.0,E,Valeur estimée,
2,Production,Ananas,2010,tonnes,1600.0,E,Valeur estimée,
3,Superficie récoltée,Ananas,2011,ha,210.0,E,Valeur estimée,
4,Rendement,Ananas,2011,kg/ha,8095.2,E,Valeur estimée,
5,Production,Ananas,2011,tonnes,1700.0,E,Valeur estimée,
6,Superficie récoltée,Ananas,2012,ha,220.0,E,Valeur estimée,
7,Rendement,Ananas,2012,kg/ha,7954.5,E,Valeur estimée,
8,Production,Ananas,2012,tonnes,1750.0,E,Valeur estimée,
9,Superficie récoltée,Ananas,2013,ha,224.0,I,Valeur imputée par une agence réceptrice,
10,Rendement,Ananas,2013,kg/ha,7981.9,E,Valeur estimée,
11,Production,Ananas,2013,tonnes,1785.82,I,Valeur imputée par une agence réceptrice,
12,Superficie récoltée,Ananas,2014,ha,228.0,I,Valeur imputée par une agence réceptrice,
13,Rendement,Ananas,2014,kg/ha,8012.6,E,Valeur estimée,
14,Production,Ananas,2014,tonnes,1827.67,I,Valeur imputée par une agence réceptrice,
15,Superficie récoltée,Ananas,2015,ha,234.0,I,Valeur imputée par une agence réceptrice,
16,Rendement,Ananas,2015,kg/ha,8019.9,E,Valeur estimée,
17,Production,Ananas,2015,tonnes,1878.61,I,Valeur imputée par une agence réceptrice,
18,Superficie récoltée,Ananas,2016,ha,229.0,E,Valeur estimée,
19,Rendement,Ananas,2016,kg/ha,8005.1,E,Valeur estimée,
20,Production,Ananas,2016,tonnes,1830.7,E,Valeur estimée,
21,Superficie récoltée,Ananas,2017,ha,235.0,I,Valeur imputée par une agence réceptrice,
22,Rendement,Ananas,2017,kg/ha,8009.0,E,Valeur estimée,
23,Production,Ananas,2017,tonnes,1879.25,I,Valeur imputée par une agence réceptrice,
24,Superficie récoltée,Ananas,2018,ha,242.0,I,Valeur imputée par une agence réceptrice,
25,Rendement,Ananas,2018,kg/ha,8016.9,E,Valeur estimée,
26,Production,Ananas,2018,tonnes,1938.2,I,Valeur imputée par une agence réceptrice,
27,Superficie récoltée,Ananas,2019,ha,235.0,E,Valeur estimée,
28,Rendement,Ananas,2019,kg/ha,8010.4,E,Valeur estimée,
29,Production,Ananas,2019,tonnes,1882.72,E,Valeur estimée,
30,Superficie récoltée,Ananas,2020,ha,240.0,I,Valeur imputée par une agence réceptrice,
31,Rendement,Ananas,2020,kg/ha,8018.8,E,Valeur estimée,
32,Production,Ananas,2020,tonnes,1927.64,I,Valeur imputée par une agence réceptrice,
33,Superficie récoltée,Ananas,2021,ha,239.0,E,Valeur estimée,
34,Rendement,Ananas,2021,kg/ha,8015.4,E,Valeur estimée,
35,Production,Ananas,2021,tonnes,1916.18,E,Valeur estimée,
36,Superficie récoltée,Ananas,2022,ha,238.0,E,Valeur estimée,
37,Rendement,Ananas,2022,kg/ha,8014.9,E,Valeur estimée,
38,Production,Ananas,2022,tonnes,1908.85,E,Valeur estimée,
39,Superficie récoltée,Ananas,2023,ha,239.0,E,Valeur estimée,
40,Rendement,Ananas,2023,kg/ha,8016.4,E,Valeur estimée,
41,Production,Ananas,2023,tonnes,1917.56,E,Valeur estimée,
42,Superficie récoltée,Ananas,2024,ha,239.0,E,Valeur estimée,
43,Rendement,Ananas,2024,kg/ha,8015.6,E,Valeur estimée,
44,Production,Ananas,2024,tonnes,1914.2,E,Valeur estimée,
45,Superficie récoltée,Arachides non décortiquées,2010,ha,69621.0,A,Chiffre officiel,
46,Rendement,Arachides non décortiquées,2010,kg/ha,667.8,A,Chiffre officiel,
47,Production,Arachides non décortiquées,2010,tonnes,46496.0,A,Chiffre officiel,
48,Superficie récoltée,Arachides non décortiquées,2011,ha,68785.0,A,Chiffre officiel,
49,Rendement,Arachides non décortiquées,2011,kg/ha,688.7,A,Chiffre officiel,
50,Production,Arachides non décortiquées,2011,tonnes,47369.0,A,Chiffre officiel,
51,Superficie récoltée,Arachides non décortiquées,2012,ha,67857.0,A,Chiffre officiel,
52,Rendement,Arachides non décortiquées,2012,kg/ha,643.1,A,Chiffre officiel,
53,Production,Arachides non décortiquées,2012,tonnes,43636.0,A,Chiffre officiel,
54,Superficie récoltée,Arachides non décortiquées,2013,ha,60813.0,A,Chiffre officiel,
55,Rendement,Arachides non décortiquées,2013,kg/ha,639.7,A,Chiffre officiel,
56,Production,Arachides non décortiquées,2013,tonnes,38903.0,A,Chiffre officiel,
57,Superficie récoltée,Arachides non décortiquées,2014,ha,61120.0,A,Chiffre officiel,
58,Rendement,Arachides non décortiquées,2014,kg/ha,665.3,A,Chiffre officiel,
59,Production,Arachides non décortiquées,2014,tonnes,40663.0,A,Chiffre officiel,
60,Superficie récoltée,Arachides non décortiquées,2015,ha,61428.0,A,Chiffre officiel,
61,Rendement,Arachides non décortiquées,2015,kg/ha,665.9,A,Chiffre officiel,
62,Production,Arachides non décortiquées,2015,tonnes,40903.0,A,Chiffre officiel,
63,Superficie récoltée,Arachides non décortiquées,2016,ha,58078.0,A,Chiffre officiel,
64,Rendement,Arachides non décortiquées,2016,kg/ha,700.1,A,Chiffre officiel,
65,Production,Arachides non décortiquées,2016,tonnes,40663.0,A,Chiffre officiel,
66,Superficie récoltée,Arachides non décortiquées,2017,ha,59008.0,A,Chiffre officiel,
67,Rendement,Arachides non décortiquées,2017,kg/ha,737.1,A,Chiffre officiel,
68,Production,Arachides non décortiquées,2017,tonnes,43493.0,A,Chiffre officiel,
69,Superficie récoltée,Arachides non décortiquées,2018,ha,59290.0,A,Chiffre officiel,
70,Rendement,Arachides non décortiquées,2018,kg/ha,739.5,A,Chiffre officiel,
71,Production,Arachides non décortiquées,2018,tonnes,43842.0,A,Chiffre officiel,
72,Superficie récoltée,Arachides non décortiquées,2019,ha,59946.0,A,Chiffre officiel,
73,Rendement,Arachides non décortiquées,2019,kg/ha,743.7,A,Chiffre officiel,
74,Production,Arachides non décortiquées,2019,tonnes,44582.0,A,Chiffre officiel,
75,Superficie récoltée,Arachides non décortiquées,2020,ha,58377.0,A,Chiffre officiel,
76,Rendement,Arachides non décortiquées,2020,kg/ha,743.6,A,Chiffre officiel,
77,Production,Arachides non décortiquées,2020,tonnes,43407.0,A,Chiffre officiel,
78,Superficie récoltée,Arachides non décortiquées,2021,ha,58659.0,A,Chiffre officiel,
79,Rendement,Arachides non décortiquées,2021,kg/ha,756.4,A,Chiffre officiel,
80,Production,Arachides non décortiquées,2021,tonnes,44367.0,A,Chiffre officiel,
81,Superficie récoltée,Arachides non décortiquées,2022,ha,59515.0,A,Chiffre officiel,
82,Rendement,Arachides non décortiquées,2022,kg/ha,757.4,A,Chiffre officiel,
83,Production,Arachides non décortiquées,2022,tonnes,45074.0,A,Chiffre officiel,
84,Superficie récoltée,Arachides non décortiquées,2023,ha,60000.0,X,Chiffre de source externe,Chiffre non officiel
85,Rendement,Arachides non décortiquées,2023,kg/ha,750.0,X,Chiffre de source externe,
86,Production,Arachides non décortiquées,2023,tonnes,45000.0,X,Chiffre de source externe,Chiffre non officiel
87,Superficie récoltée,Arachides non décortiquées,2024,ha,61000.0,X,Chiffre de source externe,Chiffre non officiel
88,Rendement,Arachides non décortiquées,2024,kg/ha,754.1,X,Chiffre de source externe,
89,Production,Arachides non décortiquées,2024,tonnes,46000.0,X,Chiffre de source externe,Chiffre non officiel
90,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2010,ha,241.0,I,Valeur imputée par une agence réceptrice,
91,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2010,kg/ha,1009.1,E,Valeur estimée,
92,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2010,tonnes,243.6,I,Valeur imputée par une agence réceptrice,
93,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2011,ha,250.0,E,Valeur estimée,
94,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2011,kg/ha,1020.0,E,Valeur estimée,
95,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2011,tonnes,255.0,E,Valeur estimée,
96,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2012,ha,260.0,E,Valeur estimée,
97,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2012,kg/ha,1038.5,E,Valeur estimée,
98,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2012,tonnes,270.0,E,Valeur estimée,
99,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2013,ha,246.0,I,Valeur imputée par une agence réceptrice,
100,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2013,kg/ha,1027.1,E,Valeur estimée,
101,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2013,tonnes,252.84,I,Valeur imputée par une agence réceptrice,
102,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2014,ha,254.0,I,Valeur imputée par une agence réceptrice,
103,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2014,kg/ha,1022.3,E,Valeur estimée,
104,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2014,tonnes,259.19,I,Valeur imputée par une agence réceptrice,
105,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2015,ha,256.0,I,Valeur imputée par une agence réceptrice,
106,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2015,kg/ha,1025.7,E,Valeur estimée,
107,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2015,tonnes,262.27,I,Valeur imputée par une agence réceptrice,
108,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2016,ha,259.0,I,Valeur imputée par une agence réceptrice,
109,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2016,kg/ha,1024.3,E,Valeur estimée,
110,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2016,tonnes,265.67,I,Valeur imputée par une agence réceptrice,
111,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2017,ha,262.0,I,Valeur imputée par une agence réceptrice,
112,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2017,kg/ha,1025.2,E,Valeur estimée,
113,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2017,tonnes,268.73,I,Valeur imputée par une agence réceptrice,
114,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2018,ha,265.0,I,Valeur imputée par une agence réceptrice,
115,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2018,kg/ha,1025.8,E,Valeur estimée,
116,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2018,tonnes,271.55,I,Valeur imputée par une agence réceptrice,
117,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2019,ha,266.0,I,Valeur imputée par une agence réceptrice,
118,Rendement,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2019,kg/ha,1026.1,E,Valeur estimée,
119,Production,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2019,tonnes,272.79,I,Valeur imputée par une agence réceptrice,
120,Superficie récoltée,"Autres espèces cultivées stimulantes, à épices et aromatiques, n.c.a.",2020,ha,267.0,I,Valeur imputée par une agence réceptrice,
